Страница,Ряд,Позиция,Артикул,Цвет,Капсула
1,2,3,GTN003554,светло-розовый,Candy Pop
1,2,4,GTN003269,розовый,Candy Pop
1,2,5,GTN003740,розовый,Candy Pop
1,2,8,GKT019415,фиолетовый,Candy Pop
1,5,2,GKT015789,розовый,Candy Pop
1,5,3,GKT020099,розовый,Candy Pop
1,5,4,GKT021086,розовый,Candy Pop
1,5,5,GKT021074,розовый,Candy Pop
1,6,3,GJC006007,розовый,Candy Pop
1,7,1,GJC006023,лиловый,Denim Club
1,7,2,GJC005932,лайт,Denim Club
1,7,3,GJC005931,лайт,Denim Club
1,7,4,GJC006080,лайт,Denim Club
1,7,5,GJC006138,лайт/айс,Denim Club
2,1,1,GSH010736,лайт,Denim Club
2,1,2,GSK017625,лайт,Denim Club
2,1,3,GSH010753,лайт,Denim Club
2,1,4,GSH010746,лайт,Denim Club
2,1,8,GSH010840,лайт/айс,Denim Club
2,1,9,GSK017624,лайт,Denim Club
2,3,8,GSH010494,медиум,Denim Club
2,5,3,GJN027486,лайт,Denim Club
2,5,4,GJN027485,лайт,Denim Club
2,7,1,GDR027783,супер-лайт,Denim Club
2,7,2,GDR027782,лайт,Denim Club
2,7,3,GDR027889,супер-лайт,Denim Club
1,1,5,GTN003741,ментоловый,Mint & Lavender
1,2,6,GTN003157,сиреневый,Mint & Lavender
1,2,9,GKT019415,разноцветный,Mint & Lavender
1,3,3,GKT019415,голубой/белый,Mint & Lavender
1,3,4,GKT019643,ментоловый,Mint & Lavender
1,3,6,GKT015789,светло-лиловый,Mint & Lavender
1,6,5,GJC006024,бирюзовый,Mint & Lavender
1,1,3,GTN003477,белый,Pastel Basics
1,2,7,GTN003477,сиреневый,Pastel Basics
1,3,5,GAC020250,сиреневый,Pastel Basics
1,4,1,GKT019643,светло-желтый,Pastel Basics
1,4,2,GAC020250,желтый,Pastel Basics
1,5,1,GKT019643,светло-розовый,Pastel Basics
1,5,6,GKT021811,розовый,Pastel Basics
1,5,7,GKT020756,розовый,Pastel Basics
1,6,1,GJC006025,белый,Pastel Basics
1,1,1,GTN003226,белый,Picnic Club
1,1,2,GTN003554,белый,Picnic Club
1,1,4,GWT003043,голубой,Picnic Club
1,1,6,GTN003226,зеленый,Picnic Club
1,2,2,GWT003043,розовый,Picnic Club
1,3,1,GKT020099,белый,Picnic Club
1,3,2,GKT021071,белый,Picnic Club
1,5,8,GKT020755,молочный,Picnic Club
2,5,5,GDR025564,желтый,Romantic Garden
2,5,6,GDR027228,желтый,Romantic Garden
2,5,7,GDR026914,светло-желтый,Romantic Garden
2,5,8,GDR026715,желтый,Romantic Garden
2,6,1,GDR026715,белый,Romantic Garden
2,6,2,GDR026715,светло-синий,Romantic Garden
2,6,3,GDR027171,голубой,Romantic Garden
2,6,4,GDR025564,розовый,Romantic Garden
2,6,5,GDR026914,розовый,Romantic Garden
2,6,6,GDR026715,малиновый,Romantic Garden
2,6,7,GDR027171,желтый,Romantic Garden
2,7,4,GDR026914,голубой,Romantic Garden
2,7,5,GDR026914,оливковый,Romantic Garden
2,7,6,GDR027228,салатный,Romantic Garden
2,7,7,GDR025564,оранжевый,Romantic Garden
1,6,2,GAC021282,молочный,Sporty Fun
1,6,4,GAC021280,розовый,Sporty Fun
1,6,6,GAC021272,салатовый,Sporty Fun
1,6,7,GAC021271,сиреневый,Sporty Fun
2,1,5,GSH009925,голубой,Sporty Fun
2,1,6,GSH009802,голубой,Sporty Fun
2,1,7,GSH009930,сиреневый,Sporty Fun
2,2,1,GSH009900,фиолетовый,Sporty Fun
2,2,2,GSH009925,фиолетовый,Sporty Fun
2,2,3,GSH009802,розовый,Sporty Fun
2,2,4,GSH009925,светло-розовый,Sporty Fun
2,2,5,GSH009900,розовый,Sporty Fun
2,2,6,GSH009902,светло-розовый,Sporty Fun
2,2,7,GSH009930,черный,Sporty Fun
2,2,8,GSH010800,супер-лайт,Sporty Fun
2,3,1,GSH009925,оранжевый,Sporty Fun
2,3,2,GSH009900,оранжевый,Sporty Fun
2,3,3,GSH008444,оранжевый,Sporty Fun
2,3,4,GSH009802,желтый,Sporty Fun
2,3,5,GSH009900,зеленый,Sporty Fun
2,3,6,GSH009930,светло-зеленый,Sporty Fun
2,3,7,GSH009902,салатовый,Sporty Fun
2,4,1,GJN027256,белый,Sporty Fun
2,4,2,GAC021287,молочный,Sporty Fun
2,4,3,GAC020410,желтый,Sporty Fun
2,4,4,GAC021285,розовый,Sporty Fun
2,4,5,GJN027170,розовый,Sporty Fun
2,4,6,GJN027253,лиловый,Sporty Fun
2,4,7,GAC021268,сиреневый,Sporty Fun
2,4,8,GAC020410,сиреневый,Sporty Fun
2,5,1,GAC021269,салатовый,Sporty Fun
2,5,2,GJN027255,бирюзовый,Sporty Fun
1,1,7,GTN003477,светло-зеленый,Sunny Day
1,1,8,GTN003226,желтый,Sunny Day
1,1,9,GTN003554,желтый,Sunny Day
1,2,1,GTN003157,салатный,Sunny Day
1,3,7,GKT020099,желтый,Sunny Day
1,3,8,GKT021089,светло-желтый,Sunny Day
1,4,3,GKT021363,желтый,Sunny Day
1,4,4,GKT021809,желтый,Sunny Day
1,4,5,GKT019415,оранжевый,Sunny Day
1,4,6,GKT021810,оранжевый,Sunny Day
1,4,7,GKT021364,салатовый,Sunny Day
1,4,8,GKT020757,салатный,Sunny Day
1,5,9,GKT020758,оранжевый,Sunny Day
