Капсула,Комплект,Артикул верха,Цвет верха,Артикул низа,Цвет низа
Picnic Club,1,GTN003226,белый,GSH010736,лайт
Picnic Club,2,GTN003554,белый,GSK017625,лайт
Picnic Club,3,GWT003043,голубой,GSH009925,голубой
Picnic Club,4,GWT003043,розовый,GSH009802,розовый
Picnic Club,5,GKT020099,белый,GSH009802,голубой
Candy Pop,1,GTN003554,светло-розовый,GSH009900,фиолетовый
Candy Pop,2,GTN003269,розовый,GSH009900,розовый
Candy Pop,3,GTN003740,розовый,GSH009902,светло-розовый
Candy Pop,4,GKT019415,фиолетовый,GSH009925,фиолетовый
Candy Pop,5,GKT021086,розовый,GSH009930,черный
Candy Pop,6,GKT021074,розовый,GSH009925,светло-розовый
Sunny Day,1,GTN003226,желтый,GSH009802,желтый
Sunny Day,2,GTN003157,салатный,GSH009900,зеленый
Sunny Day,3,GKT020099,желтый,GSH008444,оранжевый
Sunny Day,4,GKT019415,оранжевый,GSH009925,оранжевый
Sunny Day,5,GKT021364,салатовый,GSH009902,салатовый
Sunny Day,6,GKT020758,оранжевый,GSH009900,оранжевый
Mint & Lavender,1,GTN003741,ментоловый,GAC021269,салатовый
Mint & Lavender,2,GTN003157,сиреневый,GSH009930,сиреневый
Mint & Lavender,3,GKT019415,разноцветный,GJN027255,бирюзовый
Mint & Lavender,4,GKT019415,голубой/белый,GSH010753,лайт
Mint & Lavender,5,GKT015789,светло-лиловый,GJN027253,лиловый
Pastel Basics,1,GTN003477,белый,GJN027256,белый
Pastel Basics,2,GTN003477,сиреневый,GAC021287,молочный
Pastel Basics,3,GAC020250,сиреневый,GAC020410,сиреневый
Pastel Basics,4,GKT019643,светло-желтый,GAC020410,желтый
Pastel Basics,5,GKT019643,светло-розовый,GAC021285,розовый
Denim Club,1,GJC006023,лиловый,GSK017624,лайт
Denim Club,2,GJC005932,лайт,GSH010746,лайт
Denim Club,3,GJC005931,лайт,GSH010494,медиум
Denim Club,4,GJC006080,лайт,GJN027486,лайт
Denim Club,5,GJC006138,лайт/айс,GJN027485,лайт
Sporty Fun,1,GAC021282,молочный,GSH010800,супер-лайт
Sporty Fun,2,GAC021280,розовый,GJN027170,розовый
Sporty Fun,3,GAC021272,салатовый,GSH009930,светло-зеленый
Sporty Fun,4,GAC021271,сиреневый,GAC021268,сиреневый
Sporty Fun,5,GJC006024,бирюзовый,GSH010840,лайт/айс
