Капсула,Комплект,Артикул верха,Цвет верха,Артикул низа,Цвет низа
ЯРКИЙ ПИКНИК,1,GTN003226,белый,GSH010736,лайт
ЯРКИЙ ПИКНИК,2,GTN003554,белый,GSK017625,лайт
ЯРКИЙ ПИКНИК,3,GWT003043,голубой,GSH009925,голубой
ЯРКИЙ ПИКНИК,4,GWT003043,розовый,GSH009802,розовый
ЯРКИЙ ПИКНИК,5,GKT020099,белый,GSH009802,голубой
ЯРКИЙ ПИКНИК,6,GTN003554,светло-розовый,GSH009900,фиолетовый
ЯРКИЙ ПИКНИК,7,GTN003269,розовый,GSH009900,розовый
ЯРКИЙ ПИКНИК,8,GTN003740,розовый,GSH009902,светло-розовый
ЯРКИЙ ПИКНИК,9,GKT019415,фиолетовый,GSH009925,фиолетовый
ЯРКИЙ ПИКНИК,10,GKT021086,розовый,GSH009930,черный
ЯРКИЙ ПИКНИК,11,GKT021074,розовый,GSH009925,светло-розовый
ЯРКИЙ ПИКНИК,12,GTN003226,желтый,GSH009802,желтый
ЯРКИЙ ПИКНИК,13,GTN003157,салатный,GSH009900,зеленый
ЯРКИЙ ПИКНИК,14,GKT020099,желтый,GSH008444,оранжевый
ЯРКИЙ ПИКНИК,15,GKT019415,оранжевый,GSH009925,оранжевый
ЯРКИЙ ПИКНИК,16,GKT021364,салатовый,GSH009902,салатовый
ЯРКИЙ ПИКНИК,17,GKT020758,оранжевый,GSH009900,оранжевый
ЯРКИЙ ПИКНИК,18,GAC021282,молочный,GSH010800,супер-лайт
ЯРКИЙ ПИКНИК,19,GAC021280,розовый,GJN027170,розовый
ПАСТЕЛЬНЫЙ КЛУБ,1,GTN003741,ментоловый,GAC021269,салатовый
ПАСТЕЛЬНЫЙ КЛУБ,2,GTN003157,сиреневый,GSH009930,сиреневый
ПАСТЕЛЬНЫЙ КЛУБ,3,GKT019415,разноцветный,GJN027255,бирюзовый
ПАСТЕЛЬНЫЙ КЛУБ,4,GKT019415,голубой/белый,GSH010753,лайт
ПАСТЕЛЬНЫЙ КЛУБ,5,GKT015789,светло-лиловый,GJN027253,лиловый
ПАСТЕЛЬНЫЙ КЛУБ,6,GTN003477,белый,GJN027256,белый
ПАСТЕЛЬНЫЙ КЛУБ,7,GTN003477,сиреневый,GAC021287,молочный
ПАСТЕЛЬНЫЙ КЛУБ,8,GAC020250,сиреневый,GAC020410,сиреневый
ПАСТЕЛЬНЫЙ КЛУБ,9,GKT019643,светло-желтый,GAC020410,желтый
ПАСТЕЛЬНЫЙ КЛУБ,10,GKT019643,светло-розовый,GAC021285,розовый
ПАСТЕЛЬНЫЙ КЛУБ,11,GJC006023,лиловый,GSK017624,лайт
ПАСТЕЛЬНЫЙ КЛУБ,12,GJC005932,лайт,GSH010746,лайт
ПАСТЕЛЬНЫЙ КЛУБ,13,GJC005931,лайт,GSH010494,медиум
ПАСТЕЛЬНЫЙ КЛУБ,14,GJC006080,лайт,GJN027486,лайт
ПАСТЕЛЬНЫЙ КЛУБ,15,GJC006138,лайт/айс,GJN027485,лайт
ПАСТЕЛЬНЫЙ КЛУБ,16,GAC021272,салатовый,GSH009930,светло-зеленый
ПАСТЕЛЬНЫЙ КЛУБ,17,GAC021271,сиреневый,GAC021268,сиреневый
ПАСТЕЛЬНЫЙ КЛУБ,18,GJC006024,бирюзовый,GSH010840,лайт/айс
